,dataset,K,TP,TN,FP,FN,accuracy
0,A,1,77,76,924,923,7.65
1,A,2,135,51,949,865,9.3
2,A,5,34,73,927,966,5.35
3,A,10,25,66,934,975,4.55
4,A,15,18,72,928,982,4.5
5,A,20,22,69,931,978,4.55
6,A,50,19,73,927,981,4.6
7,A,100,17,77,923,983,4.7
8,A,500,7,97,903,993,5.2
9,A,1000,4,119,881,996,6.15
10,B,1,272,240,760,728,25.6
11,B,2,394,132,868,606,26.3
12,B,5,240,206,794,760,22.3
13,B,10,262,164,836,738,21.3
14,B,15,206,207,793,794,20.65
15,B,20,233,177,823,767,20.5
16,B,50,223,194,806,777,20.85
17,B,100,225,192,808,775,20.85
18,B,500,207,198,802,793,20.25
19,B,1000,219,190,810,781,20.45
20,C,1,231,259,741,769,24.5
21,C,2,359,131,869,641,24.5
22,C,5,203,241,759,797,22.2
23,C,10,235,192,808,765,21.35
24,C,15,192,244,756,808,21.8
25,C,20,212,213,787,788,21.25
26,C,50,167,231,769,833,19.9
27,C,100,160,239,761,840,19.95
28,C,500,125,286,714,875,20.55
29,C,1000,91,339,661,909,21.5
30,D,1,0,0,1000,1000,0.0
31,D,2,218,0,1000,782,10.9
32,D,5,66,178,822,934,12.2
33,D,10,78,184,816,922,13.1
34,D,15,62,206,794,938,13.4
35,D,20,68,199,801,932,13.35
36,D,50,54,229,771,946,14.15
37,D,100,41,269,731,959,15.5
38,D,500,0,540,460,1000,27.0
39,D,1000,0,1000,0,1000,50.0
40,E,1,120,123,877,880,12.15
41,E,2,193,55,945,807,12.4
42,E,5,101,95,905,899,9.8
43,E,10,116,81,919,884,9.85
44,E,15,103,89,911,897,9.6
45,E,20,111,81,919,889,9.6
46,E,50,99,81,919,901,9.0
47,E,100,92,84,916,908,8.8
48,E,500,128,156,844,872,14.2
49,E,1000,243,217,783,757,23.0
50,F,1,0,0,1000,1000,0.0
51,F,2,0,0,1000,1000,0.0
52,F,5,0,0,1000,1000,0.0
53,F,10,0,0,1000,1000,0.0
54,F,15,0,0,1000,1000,0.0
55,F,20,0,0,1000,1000,0.0
56,F,50,0,0,1000,1000,0.0
57,F,100,0,0,1000,1000,0.0
58,F,500,0,0,1000,1000,0.0
59,F,1000,2,0,1000,998,0.1
60,G,1,81,74,926,919,7.75
61,G,2,113,40,960,887,7.65
62,G,5,50,60,940,950,5.5
63,G,10,60,40,960,940,5.0
64,G,15,48,45,955,952,4.65
65,G,20,51,43,957,949,4.7
66,G,50,45,43,957,955,4.4
67,G,100,45,39,961,955,4.2
68,G,500,42,41,959,958,4.15
69,G,1000,64,26,974,936,4.5
70,H,1,1,0,998,999,0.05005005005005005
71,H,2,1,0,998,999,0.05005005005005005
72,H,5,1,0,998,999,0.05005005005005005
73,H,10,1,0,998,999,0.05005005005005005
74,H,15,1,0,998,999,0.05005005005005005
75,H,20,1,0,998,999,0.05005005005005005
76,H,50,1,0,998,999,0.05005005005005005
77,H,100,1,0,998,999,0.05005005005005005
78,H,500,1,0,998,999,0.05005005005005005
79,H,1000,999,998,0,1,99.94994994994995
80,I,1,0,0,1000,1000,0.0
81,I,2,0,0,1000,1000,0.0
82,I,5,0,0,1000,1000,0.0
83,I,10,0,0,1000,1000,0.0
84,I,15,0,0,1000,1000,0.0
85,I,20,0,0,1000,1000,0.0
86,I,50,0,0,1000,1000,0.0
87,I,100,1,0,1000,999,0.05
88,I,500,60,54,946,940,5.7
89,I,1000,127,118,882,873,12.25
