,dataset,K,TP,TN,FP,FN
0,A,1,77,76,924,923
1,A,2,135,51,949,865
2,A,5,34,73,927,966
3,A,10,25,66,934,975
4,A,15,18,72,928,982
5,A,20,22,69,931,978
6,A,50,19,73,927,981
7,A,100,17,77,923,983
8,A,500,7,97,903,993
9,A,1000,4,119,881,996
10,B,1,272,240,760,728
11,B,2,394,132,868,606
12,B,5,240,206,794,760
13,B,10,262,164,836,738
14,B,15,206,207,793,794
15,B,20,233,177,823,767
16,B,50,223,194,806,777
17,B,100,225,192,808,775
18,B,500,207,198,802,793
19,B,1000,219,190,810,781
20,C,1,231,259,741,769
21,C,2,359,131,869,641
22,C,5,203,241,759,797
23,C,10,235,192,808,765
24,C,15,192,244,756,808
25,C,20,212,213,787,788
26,C,50,167,231,769,833
27,C,100,160,239,761,840
28,C,500,125,286,714,875
29,C,1000,91,339,661,909
30,D,1,0,0,1000,1000
31,D,2,218,0,1000,782
32,D,5,66,178,822,934
33,D,10,78,184,816,922
34,D,15,62,206,794,938
35,D,20,68,199,801,932
36,D,50,54,229,771,946
37,D,100,41,269,731,959
38,D,500,0,540,460,1000
39,D,1000,0,1000,0,1000
40,E,1,120,123,877,880
41,E,2,193,55,945,807
42,E,5,101,95,905,899
43,E,10,116,81,919,884
44,E,15,103,89,911,897
45,E,20,111,81,919,889
46,E,50,99,81,919,901
47,E,100,92,84,916,908
48,E,500,128,156,844,872
49,E,1000,243,217,783,757
50,F,1,0,0,1000,1000
51,F,2,0,0,1000,1000
52,F,5,0,0,1000,1000
53,F,10,0,0,1000,1000
54,F,15,0,0,1000,1000
55,F,20,0,0,1000,1000
56,F,50,0,0,1000,1000
57,F,100,0,0,1000,1000
58,F,500,0,0,1000,1000
59,F,1000,2,0,1000,998
60,G,1,81,74,926,919
61,G,2,113,40,960,887
62,G,5,50,60,940,950
63,G,10,60,40,960,940
64,G,15,48,45,955,952
65,G,20,51,43,957,949
66,G,50,45,43,957,955
67,G,100,45,39,961,955
68,G,500,42,41,959,958
69,G,1000,64,26,974,936
70,H,1,1,0,998,999
71,H,2,1,0,998,999
72,H,5,1,0,998,999
73,H,10,1,0,998,999
74,H,15,1,0,998,999
75,H,20,1,0,998,999
76,H,50,1,0,998,999
77,H,100,1,0,998,999
78,H,500,1,0,998,999
79,H,1000,999,998,0,1
80,I,1,0,0,1000,1000
81,I,2,0,0,1000,1000
82,I,5,0,0,1000,1000
83,I,10,0,0,1000,1000
84,I,15,0,0,1000,1000
85,I,20,0,0,1000,1000
86,I,50,0,0,1000,1000
87,I,100,1,0,1000,999
88,I,500,60,54,946,940
89,I,1000,127,118,882,873
